code_postal;codes_postaux;code_insee;nom_standard;nom_standard_majuscule;reg_code;reg_nom;dep_code;dep_nom;canton_code;canton_nom
01400;01400;01001;L'Abergement-Clémenciat;L'ABERGEMENT-CLÉMENCIAT;84;Auvergne-Rhône-Alpes;01;Ain;0108;Châtillon-sur-Chalaronne
01640;01640;01002;L'Abergement-de-Varey;L'ABERGEMENT-DE-VAREY;84;Auvergne-Rhône-Alpes;01;Ain;0101;Ambérieu-en-Bugey
01500;01500, 01501, 01504, 01503, 01502, 01505, 01506;01004;Ambérieu-en-Bugey;AMBÉRIEU-EN-BUGEY;84;Auvergne-Rhône-Alpes;01;Ain;0101;Ambérieu-en-Bugey
01330;01330;01005;Ambérieux-en-Dombes;AMBÉRIEUX-EN-DOMBES;84;Auvergne-Rhône-Alpes;01;Ain;0122;Villars-les-Dombes
01300;01300;01006;Ambléon;AMBLÉON;84;Auvergne-Rhône-Alpes;01;Ain;0104;Belley
01500;01500, 01504;01007;Ambronay;AMBRONAY;84;Auvergne-Rhône-Alpes;01;Ain;0101;Ambérieu-en-Bugey
01500;01500;01008;Ambutrix;AMBUTRIX;84;Auvergne-Rhône-Alpes;01;Ain;0101;Ambérieu-en-Bugey
01300;01300;01009;Andert-et-Condon;ANDERT-ET-CONDON;84;Auvergne-Rhône-Alpes;01;Ain;0104;Belley
01350;01350;01010;Anglefort;ANGLEFORT;84;Auvergne-Rhône-Alpes;01;Ain;0110;Plateau d’Hauteville
01100;01100;01011;Apremont;APREMONT;84;Auvergne-Rhône-Alpes;01;Ain;0114;Nantua
01110;01110;01012;Aranc;ARANC;84;Auvergne-Rhône-Alpes;01;Ain;0110;Plateau d’Hauteville
01230;01230;01013;Arandas;ARANDAS;84;Auvergne-Rhône-Alpes;01;Ain;0101;Ambérieu-en-Bugey
01100;01112, 01102, 01100, 01117, 01101;01014;Arbent;ARBENT;84;Auvergne-Rhône-Alpes;01;Ain;0115;Oyonnax
01300;01300;01015;Arboys en Bugey;ARBOYS EN BUGEY;84;Auvergne-Rhône-Alpes;01;Ain;0104;Belley
01190;01190;01016;Arbigny;ARBIGNY;84;Auvergne-Rhône-Alpes;01;Ain;0117;Replonges
01230;01230;01017;Argis;ARGIS;84;Auvergne-Rhône-Alpes;01;Ain;0101;Ambérieu-en-Bugey
01510;01510;01019;Armix;ARMIX;84;Auvergne-Rhône-Alpes;01;Ain;0110;Plateau d’Hauteville
01480;01480;01021;Ars-sur-Formans;ARS-SUR-FORMANS;84;Auvergne-Rhône-Alpes;01;Ain;0122;Villars-les-Dombes
01510;01510;01022;Artemare;ARTEMARE;84;Auvergne-Rhône-Alpes;01;Ain;0110;Plateau d’Hauteville
01570;01570;01023;Asnières-sur-Saône;ASNIÈRES-SUR-SAÔNE;84;Auvergne-Rhône-Alpes;01;Ain;0117;Replonges
01340;01340;01024;Attignat;ATTIGNAT;84;Auvergne-Rhône-Alpes;01;Ain;0102;Attignat
01380;01380;01025;Bâgé-Dommartin;BÂGÉ-DOMMARTIN;84;Auvergne-Rhône-Alpes;01;Ain;0117;Replonges
01380;01380;01026;Bâgé-le-Châtel;BÂGÉ-LE-CHÂTEL;84;Auvergne-Rhône-Alpes;01;Ain;0117;Replonges
01360;01360;01027;Balan;BALAN;84;Auvergne-Rhône-Alpes;01;Ain;0112;Meximieux
01990;01990;01028;Baneins;BANEINS;84;Auvergne-Rhône-Alpes;01;Ain;0122;Villars-les-Dombes
01270;01270;01029;Beaupont;BEAUPONT;84;Auvergne-Rhône-Alpes;01;Ain;0118;Saint-Étienne-du-Bois
01480;01480;01030;Beauregard;BEAUREGARD;84;Auvergne-Rhône-Alpes;01;Ain;0121;Trévoux
01100;01116, 01117, 01103, 01115, 01100;01031;Bellignat;BELLIGNAT;84;Auvergne-Rhône-Alpes;01;Ain;0114;Nantua
01360;01360;01032;Béligneux;BÉLIGNEUX;84;Auvergne-Rhône-Alpes;01;Ain;0112;Meximieux
01200;01202, 01204, 01201, 01200, 01206, 01203;01033;Valserhône;VALSERHÔNE;84;Auvergne-Rhône-Alpes;01;Ain;0103;Valserhône
01300;01303, 01302, 74009, 01300, 01301, 01306;01034;Belley;BELLEY;84;Auvergne-Rhône-Alpes;01;Ain;0104;Belley
01130;01130;01035;Belleydoux;BELLEYDOUX;84;Auvergne-Rhône-Alpes;01;Ain;0114;Nantua
01260;01260;01036;Valromey-sur-Séran;VALROMEY-SUR-SÉRAN;84;Auvergne-Rhône-Alpes;01;Ain;0110;Plateau d’Hauteville
01470;01470;01037;Bénonces;BÉNONCES;84;Auvergne-Rhône-Alpes;01;Ain;0111;Lagnieu
01370;01370;01038;Bény;BÉNY;84;Auvergne-Rhône-Alpes;01;Ain;0118;Saint-Étienne-du-Bois
01340;01340;01040;Béréziat;BÉRÉZIAT;84;Auvergne-Rhône-Alpes;01;Ain;0102;Attignat
01500;01500;01041;Bettant;BETTANT;84;Auvergne-Rhône-Alpes;01;Ain;0101;Ambérieu-en-Bugey
01290;01290;01042;Bey;BEY;84;Auvergne-Rhône-Alpes;01;Ain;0123;Vonnas
01700;01700, 01704, 01708;01043;Beynost;BEYNOST;84;Auvergne-Rhône-Alpes;01;Ain;0113;Miribel
01200;01200;01044;Billiat;BILLIAT;84;Auvergne-Rhône-Alpes;01;Ain;0103;Valserhône
01330;01330;01045;Birieux;BIRIEUX;84;Auvergne-Rhône-Alpes;01;Ain;0122;Villars-les-Dombes
01290;01290;01046;Biziat;BIZIAT;84;Auvergne-Rhône-Alpes;01;Ain;0123;Vonnas
01150;01150, 01154, 01155;01047;Blyes;BLYES;84;Auvergne-Rhône-Alpes;01;Ain;0111;Lagnieu
01120;01120;01049;La Boisse;LA BOISSE;84;Auvergne-Rhône-Alpes;01;Ain;0113;Miribel
01380;01380, 01190;01050;Boissey;BOISSEY;84;Auvergne-Rhône-Alpes;01;Ain;0117;Replonges
01450;01450;01051;Bolozon;BOLOZON;84;Auvergne-Rhône-Alpes;01;Ain;0116;Pont-d'Ain
01330;01330;01052;Bouligneux;BOULIGNEUX;84;Auvergne-Rhône-Alpes;01;Ain;0122;Villars-les-Dombes
01000;01003, 01007, 01060, 01013, 01006, 01005, 01004, 01001, 01008, 01012, 01002, 01011, 01017, 01018, 01010, 01009, 01000;01053;Bourg-en-Bresse;BOURG-EN-BRESSE;84;Auvergne-Rhône-Alpes;01;Ain;0199;Bourg-en-Bresse
01800;01800;01054;Bourg-Saint-Christophe;BOURG-SAINT-CHRISTOPHE;84;Auvergne-Rhône-Alpes;01;Ain;0112;Meximieux
01640;01640;01056;Boyeux-Saint-Jérôme;BOYEUX-SAINT-JÉRÔME;84;Auvergne-Rhône-Alpes;01;Ain;0116;Pont-d'Ain
01190;01190;01057;Boz;BOZ;84;Auvergne-Rhône-Alpes;01;Ain;0117;Replonges
01300;01300;01058;Brégnier-Cordon;BRÉGNIER-CORDON;84;Auvergne-Rhône-Alpes;01;Ain;0104;Belley
01110;01110;01060;Brénod;BRÉNOD;84;Auvergne-Rhône-Alpes;01;Ain;0110;Plateau d’Hauteville
01300;01300;01061;Brens;BRENS;84;Auvergne-Rhône-Alpes;01;Ain;0104;Belley
01360;01360;01062;Bressolles;BRESSOLLES;84;Auvergne-Rhône-Alpes;01;Ain;0112;Meximieux
01460;01460;01063;Brion;BRION;84;Auvergne-Rhône-Alpes;01;Ain;0114;Nantua
01470;01470;01064;Briord;BRIORD;84;Auvergne-Rhône-Alpes;01;Ain;0111;Lagnieu
01310;01310;01065;Buellas;BUELLAS;84;Auvergne-Rhône-Alpes;01;Ain;0102;Attignat
01510;01510;01066;La Burbanche;LA BURBANCHE;84;Auvergne-Rhône-Alpes;01;Ain;0104;Belley
01430;01430;01067;Ceignes;CEIGNES;84;Auvergne-Rhône-Alpes;01;Ain;0116;Pont-d'Ain
